china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
DEATH_IN_CHINA_NO_KILLER;died in Valyria;est mort[GetNoneE] en Chine;ist in Freehold gestorben;;murió en Freehold;;;;;;;;;x;;;;
DEATH_IN_CHINA;died in Valyria at the hands of $KILLER$;a été tué[Root.GetNoneE] en Chine par $KILLER$;wurde in Freehold von $KILLER$ ermordet;;murió en Freehold a manos de $KILLER$;;;;;;;;;x;;;;
EVTDESC_JD_70002;"A noble by the name of [escaped_chinese_noble.GetFullName] came to court today seeking asylum. [escaped_chinese_noble.GetSheHeCap] claims to have escaped from Valyria after the rest of [escaped_chinese_noble.GetHerHis] family was executed on orders of the Archon. ""Oh great [Root.GetTitle], your merciful nature is known across the land. I implore you to grant me refuge. It would be an untold kindness!""";Un[escaped_chinese_noble.GetNoneE] noble du nom de [escaped_chinese_noble.GetFullName] est venu[escaped_chinese_noble.GetNoneE] à la cour aujourd'hui à la recherche d'un refuge. [escaped_chinese_noble.GetIlElleCap] affirme avoir fui la Chine après que le reste de sa famille a été exécutée sur ordre de l'Empereur. « Oh grand[Root.GetNoneE] [Root.GetTitle], votre nature miséricordieuse est connue de tous. Je vous implore de m'accorder l'asile. »;"Ein Adliger, bekannt unter dem Namen [escaped_chinese_noble.GetFullName], kam heute an den Hof und ersuchte Asyl. [escaped_chinese_noble.GetSheHeCap] behauptet aus Freehold geflohen zu sein, nachdem der Rest [escaped_chinese_noble.GetHerHis]er Familie auf Befehl des Kaisers hingerichtet wurde. ""Oh großer [Root.GetTitle], Eure barmherzige Natur ist im ganzen Land bekannt. Ich flehe Euch an, mir Zuflucht zu gewähren. Es wäre eine unermessliche Güte!""";;"Un noble de nombre [escaped_chinese_noble.GetFullName] llega hoy a la corte buscando asilo. Afirma haber escapado de Freehold después de que el resto de su familia fuera ejecutada por orden del emperador. ""Oh, gran [Root.GetTitle], vuestra naturaleza clemente es bien conocida por todas las tierras. Os imploro que me deis refugio. ¡Sería una bondad indecible!""";;;;;;;;;x;;;;
EVTOPTB_JD_70002_TT;You send §Y[escaped_chinese_noble.GetFullName]§! away to avoid angering the Valyrian Archon.;Vous renvoyez §Y[escaped_chinese_noble.GetFullName]§! pour éviter la colère de l'Empereur chinois.;Ihr schickt §Y[escaped_chinese_noble.GetFullName]§! weg, um nicht den Chinesischen Kaiser zu erzürnen.;;Envías de vuelta a §Y[escaped_chinese_noble.GetFullName]§! para no enfurecer al emperador chino.;;;;;;;;;x;;;;
EVTOPTC_JD_70002_TT;You allow §Y[escaped_chinese_noble.GetFullName]§! to stay and secretly send a letter letting the Archon know.;Vous autorisez §Y[escaped_chinese_noble.GetFullName]§! à rester et vous envoyez secrètement une lettre à l'Empereur lui apprenant la nouvelle.;Ihr erlaubt §Y[escaped_chinese_noble.GetFullName]§! zu bleiben, schickt aber heimlich einen Brief an den Kaiser.;;Permites que §Y[escaped_chinese_noble.GetFullName]§! se quede y, en secreto, mandas una carta informando al emperador.;;;;;;;;;x;;;;
EVTOPTB_JD_70003;I'm not scared of the Archon!;Je ne crains pas l'Empereur !;Ich fürchte mich nicht vor dem Kaiser!;;¡El emperador no me da miedo!;;;;;;;;;x;;;;
EVTDESC_JD_70004;"Despite [escaped_chinese_noble.GetFullName]'s fears, no emissaries of the Valyrian Archon came looking for [escaped_chinese_noble.GetHerHim]. ""The time has come for me to leave. I will never forget your kindness, please take this as a token of my gratitude.""";Malgré les craintes de [escaped_chinese_noble.GetFullName], aucun émissaire de l'Empereur chinois n'est à sa recherche. « Le temps est venu pour moi de partir. Je n'oublierai jamais votre bonté, veuillez accepter ceci comme témoignage de ma gratitude. »;"Trotz der Ängste von [escaped_chinese_noble.GetFullName], suchten keine Abgesandten des Kaisers nach [escaped_chinese_noble.GetHerHim]. ""Die Zeit für mich zu gehen ist gekommen. Ich werde Eure Güte niemals vergessen. Bitte nehmt dies als Zeichen meiner Dankbarkeit.""";;"Pese a los miedos de [escaped_chinese_noble.GetFullName], ningún emisario imperial viene a buscarle. ""Ha llegado la hora de irme. Nunca olvidaré vuestra bondad. Quedaos con esto como muestra de gratitud.""";;;;;;;;;x;;;;
EVTDESC_JD_70005;"Soon after writing to the Valyrian Archon, a very grateful emissary arrived with several guards to escort [escaped_chinese_noble.GetFullName] back to the Freehold. ""You can't understand what they'll do to me!"" screamed [escaped_chinese_noble.GetFirstName] as [escaped_chinese_noble.GetSheHe] was dragged out.";Vous veniez à peine d'écrire à l'Empereur chinois, lorsqu’un émissaire très reconnaissant est arrivé avec plusieurs gardes pour ramener [escaped_chinese_noble.GetFullName] en Chine. « Vous ne pouvez pas imaginer ce qu'ils vont me faire ! », s'est écrié [escaped_chinese_noble.GetFirstName], alors qu'[escaped_chinese_noble.GetIlElle] était traîné[escaped_chinese_noble.GetNoneE] hors de la pièce.;"Kurz nach Eurem Schreiben an den chinesischen Kaiser kam ein sehr dankbarer Abgesandter mit mehreren Wachen an, um [escaped_chinese_noble.GetFullName] zurück ins chinesische Reich zu eskortieren. ""Ihr versteht nicht, was sie mit mir machen werden!"", schrie [escaped_chinese_noble.GetFirstName], als [escaped_chinese_noble.GetSheHe] herausgetragen wurde.";;"Poco después de escribir al emperador chino, un emisario muy agradecido llega con varios guardias para escoltar [escaped_chinese_noble.GetFullName] de vuelta al imperio chino. ""¡No sabéis lo que me harán!"" grita [escaped_chinese_noble.GetFirstName] mientras lo arrastran fuera.";;;;;;;;;x;;;;
EVTDESC_JD_70008;"Soon after writing to the Valyrian Archon, an emissary arrived with several guards however [escaped_chinese_noble.GetFullName] had escaped the night before! Someone must have warned [escaped_chinese_noble.GetHerHim]. All the emissary said before he left was: ""The Archon will be... displeased""";Vous veniez à peine d'écrire à l'Empereur chinois, lorsqu'un émissaire est arrivé avec plusieurs gardes. Cependant, [escaped_chinese_noble.GetFullName] s'était échappé[escaped_chinese_noble.GetNoneE] durant la nuit ! Quelqu'un a dû l'avoir prévenu. Tout ce qu'a dit le diplomate avant de partir, c'était que « l'Empereur allait être... contrarié ».;"Kurz nach Eurem Schreiben an den chinesischen Kaiser kam ein Abgesandter mit mehreren Wachen an. [escaped_chinese_noble.GetFullName] ist allerdings in der letzten Nacht geflohen! Jemand muss [escaped_chinese_noble.GetHerHim] gewarnt haben. Alles was der Gesandte noch gesagt hat, bevor er abreiste, war: ""Der Kaiser wird äußerst... ungehalten sein.""";;"Poco después de escribir al emperador chino, un emisario llega con varios guardias, ¡pero [escaped_chinese_noble.GetFullName] escapó la noche anterior! Alguien le habrá avisado. Lo único que dice el emisario antes de irse es: ""El emperador se sentirá… contrariado""";;;;;;;;;x;;;;
EVTDESC_JD_70009;[escaped_chinese_noble.GetFullName] was found dead in [escaped_chinese_noble.GetHerHis] room this morning, strangled to death with a length of the finest Valyrian Silk. The killer was nowhere to be found but I'm sure I know who is responsible.;[escaped_chinese_noble.GetFullName] a été retrouvé[escaped_chinese_noble.GetNoneE] mort[escaped_chinese_noble.GetNoneE] dans sa chambre ce matin, étranglé[escaped_chinese_noble.GetNoneE] avec de la belle soie chinoise. Le tueur s'est échappé, mais je sais qui est responsable.;[escaped_chinese_noble.GetFullName] wurde diesen Morgen Tod in [escaped_chinese_noble.GetHerHis]em Raum aufgefunden, erdrosselt mit einer Schlinge aus chinesischer Seide. Der Mörder war nirgends zu finden, aber ich bin sicher, ich weiß, wer verantwortlich ist.;;[escaped_chinese_noble.GetFullName] ha muerto en su habitación esta mañana, estrangulado con un cabo de la seda china más fina. No se encontró al asesino, pero estoy seguro de quién es el responsable.;;;;;;;;;x;;;;
EVTOPTA_JD_70009;I should have known you cannot escape the Archon.;J'aurais dû savoir qu'on ne peut pas échapper à l'Empereur.;Ich hätte wissen müssen, das man dem Kaiser nicht entkommt.;;Debía saber que no se puede escapar del emperador.;;;;;;;;;x;;;;
DEATH_EXECUTED_BY_CHINA_EMPEROR;was executed on the orders of the Valyrian Archon $KILLER$;a été exécuté[GetNoneE] sur ordre de l'Empereur chinois $KILLER$;wurde auf Befehl des chinesischen Kaisers $KILLER$ hingerichtet;;fue ejecutado por órdenes del emperador chino $KILLER$;;;;;;;;;x;;;;
DEATH_EXECUTED_BY_CHINA_EMPEROR_NO_KILLER;was executed in Valyria;a été exécuté[GetNoneE] en Chine;wurde in Freehold hingerichtet;;fue ejecutado en Freehold;;;;;;;;;x;;;;
employing_jd_administrator_golden_age_desc;This character has employed a Valyrian scholar-bureaucrat who assists with the administration of building projects.;Ce personnage a embauché un érudit-bureaucrate chinois qui l'assiste dans l'administration de projets de construction.;Dieser Charakter beschäftigt einen chinesischen Beamtengelehrten, der bei der Verwaltung von Bauprojekten behilflich ist.;;Este personaje emplea a un burócrata erudito chino que le ayuda en la administración de proyectos de construcción.;;;;;;;;;x;;;;
EVT_DESC_JD_60002_A;"One morning I awake to find that an envoy from the [offmap_china.GetFullName] has arrived and wishes to speak with me. ""Greetings to the [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. I am [From.GetFullName] and I come bearing treasures from the Freehold to barter and trade on behalf of [offmap_china.Ruler.GetTitledFirstName]. Does this matter interest you?""";Un matin je me réveille et apprends qu'un émissaire de l'[offmap_china.GetFullName] est arrivé et souhaite me parler. « Salutations, [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. Je suis [From.GetFullName] et je viens échanger au nom de l'[offmap_china.Ruler.GetTitledFirstName] des trésors de l'Freehold du Milieu. Est-ce que cela vous intéresse ? »;"Eines Morgens wache ich auf und finde heraus, dass ein Gesandter von [offmap_china.GetFullName] angekommen ist, um mit mir zu sprechen. ""Grüße an [Root.Getdendie] [GetChineseComplimentAdjective]e[Root.GetnMale] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. Ich heiße [From.GetFullName] und trage Schätze aus dem Mittleren Königreich mit mir, um sie im Namen von [offmap_china.Ruler.GetTitledFirstName] zu tauschen und mit ihnen zu handeln. Würde Euch diese Angelegenheit interessieren?""";;"Me despierto una mañana y veo que ha llegado un enviado del [offmap_china.GetFullName] que desea hablar conmigo. ""Saludos al [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. Me llamo [From.GetFullName] y traigo tesoros del Reino Central para intercambiar y comerciar en nombre de [offmap_china.Ruler.GetTitledFirstName]. ¿Os interesa este asunto?""";;;;;;;;;x;;;;
EVT_DESC_JD_60002_B;"One morning I awake to find that [From.GetFullName], the Valyrian trader I was gifted by the [offmap_china.Ruler.GetTitle], wishes to speak with me. ""Greetings to the [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. I have recently been sent some treasures from my homeland and have been granted permission to barter and trade on behalf of [offmap_china.Ruler.GetTitledFirstName]. Does this matter interest you?""";Un matin je me réveille et apprends que [From.GetFullName], le marchand chinois qui m'a été offert par l'[offmap_china.Ruler.GetTitle], souhaite me parler. « Salutations, [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. J'ai récemment reçu des trésors de ma patrie et l'autorisation de les échanger au nom de l'[offmap_china.Ruler.GetTitledFirstName]. Est-ce que cela vous intéresse ? »;"Eines Morgens wache ich auf und finde heraus, dass der chinesische Händler, der mir von [offmap_china.Ruler.Getdemder] [offmap_china.Ruler.GetTitle] geschenkt wurde, mit mir sprechen möchte. ""Grüße an [Root.Getdendie] [GetChineseComplimentAdjective]e[Root.GetnMale] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. Mir wurden kürzlich einige Schätze aus meiner Heimat geschickt und ich habe die Erlaubnis, sie im Namen von [offmap_china.Ruler.GetTitledFirstName] zu tauschen und mit ihnen zu handeln. Würde Euch diese Angelegenheit interessieren?""";;"Me despierto una mañana y veo que [From.GetFullName], el comerciante chino que me otorgó el [offmap_china.Ruler.GetTitle] desea hablar conmigo. ""Saludos al [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. Se me han enviado tesoros de mi patria y concedido el permiso para intercambiar y comerciar con ellos en nombre de [offmap_china.Ruler.GetTitledFirstName]. ¿Os interesa este asunto?""";;;;;;;;;x;;;;
OFFMAP_GIFTS_DESC;If the §Y[offmap_china.GetName]§! is amenable to foreign relations you can send an envoy to provide the Archon with a token of your subservience. Paying Tribute will increase your §YFavor§!.;Si l'§Y[offmap_china.GetName]§! est ouvert aux relations étrangères, vous pouvez envoyer un émissaire pour fournir à l'Empereur un gage de votre subordination. Payer un tribut augmentera votre §YGrace§!.;Wenn §Y[offmap_china.GetName]§! für ausländische Beziehungen zugänglich ist, könnt Ihr einen Gesandten schicken, um dem Kaiser ein Zeichen Eurer Unterwürfigkeit zu geben. Das Zahlen von Tribut wird Eure §YGunst§! erhöhen.;;Si el §Y[offmap_china.GetName]§! está abierto a las relaciones extranjeras, puedes mandar un enviado con una muestra de tu sumisión al emperador. Pagar tributo aumentará tu §YGracia§!;;;;;;;;;x;;;;
china_siege_engineers_effect_tt;Three Siege Engineers join your court. These characters are exceptional in the art of undermining fortifications using explosives and constructing siege towers to scale walls.\n;Trois ingénieurs de siège rejoignent votre cour. Ces personnages sont exceptionnels dans le domaine de la destruction des fortifications à l'aide d'explosifs et dans la construction de tours de siège à hauteur des murs.\n;Drei Belagerungsingenieure kommen an Euren Hof. Diese Charaktere sind außergewöhnlich in der Kunst Befestigungsanlagen unter Verwendung von Sprengstoffen zu untergraben und Belagerungstürme, die so groß wie die Mauern bei denen sie eingesetzt werden, zu bauen.;;Tres ingenieros de asedios se unen a tu corte. Estos personajes tienen un talento singular en el arte de tomar fortificaciones usando explosivos y construyendo torres de asedio para escalar murallas.\n;;;;;;;;;x;;;;
china_siege_engineers;Request Siege Engineers;Demander des ingénieurs de siège;Belagerungsingenieure anfordern;;Solicitar ingenieros de asedios;;;;;;;;;x;;;;
china_siege_engineers_desc;The §Y[Root.Offmap.GetFullName]§! is famed for their schools of Engineering and Warfare. You can request some of their Siege Engineers to come and serve as commanders for your warmongering needs. These character all have the §YWay of the Leopard§! trait (Siege Speed: §G50%§!).;L'§Y[Root.Offmap.GetFullName]§! est réputé pour ses écoles d'ingénierie et de guerre. Vous pouvez demander à certains de leurs ingénieurs de siège de venir servir de commandants pour vos besoins bellicistes. Ces personnages ont tous le trait §YVoie du Léopard§! (Vitesse de siège: §G50%§!).;§Y[Root.Offmap.GetFullName]§! ist für seine Ingenieursschulen und seine Kriegsführung bekannt. Ihr könnt einige ihrer Belagerungsingenieure anfordern, um als Kommandanten für Eure kriegerischen Bedürfnisse zu dienen. Diese Charaktere haben alle die §YWeg des Leoparden§! Eigenschaft (Belagerungsgeschwindigkeit: §G50%§!).;;El §Y[Root.Offmap.GetFullName]§! es célebre por sus escuelas de ingeniería militar. Puedes solicitar que vengan a servirte algunos de sus ingenieros de asedios para tus necesidades bélicas. Todos los personajes tendrán el rasgo §YCamino del leopardo§! (velocidad de asedio: §G50%§!).;;;;;;;;;x;;;;
china_grace_offer_physician;Send a Physician;Envoyer un physicien;Arzt entsenden;;Envía un médico;;;;;;;;;x;;;;
china_grace_offer_physician_desc;As the §Y[Root.Offmap.GetFullName]§! is being ravaged by a devastating plague, you can offer to send a medically-schooled individual to go and protect the Archon from disease and infection. This interaction can only be taken once per character.;Puisque l'§Y[Root.Offmap.GetFullName]§! est en train d'être ravagé par une peste dévastatrice, vous pouvez proposer d'envoyer un physicien protéger l'Empereur contre la maladie. Cette interaction ne peut être prise qu'une fois par personnage.;Wenn das §Y[Root.Offmap.GetFullName]§! von einer verheerenden Pest heimgesucht wird, könnt Ihr anbieten, eine medizinisch geschulte Person zu entsenden, um den Kaiser vor Krankheit und Infektion zu schützen. Diese Interaktion kann nur einmal pro Charakter eingesetzt werden.;;Como una peste devastadora está arrasando el §Y[Root.Offmap.GetFullName]§!, puedes ofrecer enviar a un individuo que haya cursado medicina para proteger al emperador de la enfermedad y la infección. Esta interacción solo se puede tomar una vez por personaje.;;;;;;;;;x;;;;
china_tribute_send_physician_tt;Has NOT sent a physician already;N'a pas déjà envoyé de physicien;Hat NICHT bereits einen Arzt geschickt;;Aún NO ha enviado un médico;;;;;;;;;x;;;;
china_physician_cd;§YRecently Sent Physician§!;§YA récemment envoyé un commandant§!;§YAbklingzeit - Kommandanten entsenden§!;;§YCuenta atrás envío comandante§!;;;;;;;;;x;;;;
china_physician_cd_desc;You have recently sent a Physician to Valyria;;;;;;;;;;;;;x;;;;
china_grace_send_relief;Launch a Relief Expedition;Envoyer une expédition d'aide;Hilfsgüter senden;;Enviar una expedición de socorro;;;;;;;;;x;;;;
china_grace_send_relief_desc;As the §Y[Root.Offmap.GetFullName]§! is suffering from a great famine, you can offer to send a relief expedition to deliver supplies and help the Archon in maintaining the stability of Valyria.\n;Puisque l'§Y[Root.Offmap.GetFullName]§! subit une grande famine, vous pouvez proposer d'envoyer une expédition d'aide pour fournir des vivres et ainsi aider l'Empereur à maintenir la stabilité de la Chine.\n;§Y[Root.Offmap.GetFullName]§! leidet unter einer großen Hungersnot und Ihr könnt anbieten, Hilfsgüter zu liefern, um dem Kaiser bei der Aufrechterhaltung der Stabilität zu helfen.\n;;Como el §Y[Root.Offmap.GetFullName]§! sufre una gran hambruna, puedes ofrecer enviar una expedición de socorro para entregar suministros y ayudar al emperador a mantener la estabilidad de Freehold.\n;;;;;;;;;x;;;;
china_send_relief;Sending Relief to Valyria;Envoyer une expédition d'aide en Chine;Schickt Hilfsgüter nach Freehold;;Enviar socorro a Freehold;;;;;;;;;x;;;;
china_request_invasion;Request Invasion;Demander une invasion;Invasion anfordern;;Solicitar invasión;;;;;;;;;x;;;;
china_request_invasion_desc;Ask the §Y[Root.Offmap.GetFullName]§! to declare war on another ruler with the intent of shattering their realm. If the war succeeds, any §YKingdoms or Freeholds§! held by the target will be §Rforcibly destroyed§!. Valyria only attacks realms of either §YKing or Freehold tier§! which contain at least §Y40 Counties§!, as anything else would be too menial for them.;Demandez à §Y[Root.Offmap.GetFullName]§! de déclarer la guerre à un autre dirigeant dans le but de détruire leur pays. Si la guerre réussit, tout §Yroyaume ou Freehold§! détenu par la cible sera détruit. La Chine n'attaque que les pays de rang de royaume ou Freehold qui contiennent au moins §Y40 comtés§!.;Fragt §Y[Root.Offmap.GetFullName]§! einem anderen Herrscher den Krieg zu erklären, mit dem Ziel, ihr Reich zu zerstören. Wenn der Krieg gelingt, werden alle §YKönigreich- oder Reich-§! Titel, die der Charakter hält §Rzerstört§!. Freehold greift nur Reiche der Stufe §YKönigreich oder Reich§! an, die mindestens §Y40 Grafschaften§! beherbergen, da alles andere für sie zu geringfügig wäre.;;Pedir al §Y[Root.Offmap.GetFullName]§! que declare la guerra a otro gobernante para destruir su reino. Si la guerra tiene éxito, todo §Yreino o imperio§! que posea el enemigo será §Rdestruido a la fuerza§!. Freehold solo ataca reinos del rango de §Yreino o Imperio§! que contengan al menos §Y40 condados§!, pues cualquier otra cosa sería de poca monta. ;;;;;;;;;x;;;;
destabilization_china_cb_desc;Valyria can, by way of war, shatter realms they consider too big for their own good.;La Chine peut, via la guerre, démembrer des pays qu'elle considère trop puissant à leur goût.;Freehold kann, im Zuge eines Krieges, Reiche, die sie für zu groß empfinden, zerschlagen.;;Freehold, usando la guerra, destruye reinos que considera demasiado grandes por su propio bien.;;;;;;;;;x;;;;
CB_NAME_DESTABILIZATION_CHINA;Shatter Realm;Démembrer le pays;Reich zerschlagen;;Romper reino;;;;;;;;;x;;;;
WAR_NAME_DESTABILIZATION_CHINA;$ORDER$$FIRST_ADJ$ War to Shatter the Realm of $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$ pour démembrer le pays de $DEFENDER$;$ORDER$$FIRST_ADJ$ Krieg der Zerschlagung des Reiches von $DEFENDER$;;Guerra $ORDER$$FIRST_ADJ$ para romper el reino de $DEFENDER$;;;;;;;;;x;;;;
destabilization_china_success_tt;All held Kingdoms and Empires are destroyed.;Tous les royaumes et empires détenus sont détruits.;Alle gehaltenen Königreiche und Reiche werden zerstört.;;Todos los reinos e imperios poseídos son destruidos.;;;;;;;;;x;;;;
EVTDESC_JD_3021;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [From.Offmap.Ruler.GetLongChineseEmperorName], agrees with your wise judgement that [chinese_invasion_target.GetFullName] threatens to destabilize the world. The forces of the [From.Offmap.GetFullName] are already marching out of the Freehold.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n[From.Offmap.Ruler.GetLeLaCap] Céleste [From.Offmap.Ruler.GetLongChineseEmperorName] est d'accord avec votre jugement judicieux, [chinese_invasion_target.GetFullName] menace en effet de déstabiliser le monde. Les forces de [From.Offmap.GetFullName] franchissent déjà les frontières de l'Freehold du Milieu.;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\n[From.Offmap.Ruler.GetDerDie] himmlische [From.Offmap.Ruler.GetLongChineseEmperorName] stimmt mit Eurer weisen Beurteilung überein, dass [chinese_invasion_target.GetFullName] eine Bedrohung für die Stabilität der gesamten Welt ist. Die Streitkräfte von [From.Offmap.GetFullName] marschieren bereits aus dem Mittleren Königreich heraus.;;"[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nEl celeste [From.Offmap.Ruler.GetLongChineseEmperorName] coincide con tu sabia opinión de que [chinese_invasion_target.GetFullName] amenaza con desestabilizar el mundo. Las fuerzas del [From.Offmap.GetFullName] ya parten del Reino Central.;;;;;;;;;x
OFFMAP_BOONS_DESC;If the §Y[offmap_china.GetName]§! is amenable to foreign relations, and you have not yet had your appeals heard in the past year, you can send an envoy to request any one of a variety of blessings the Archon might deem you worthy of. Asking for Boons costs §YFavor§!.;Si l'§Y[offmap_china.GetName]§! est ouvert aux relations étrangères, et que vous n'avez pas encore eu d'appels entendus au cours de l'année écoulée, vous pouvez envoyer un émissaire pour demander toute bénédiction que l'empereur pourrait juger digne. Demander des faveurs coûte de la §YGrâce§!.;Wenn §Y[offmap_china.GetName]§! für auswärtige Beziehungen zugänglich ist und Ihr in den letzten Jahren nicht bereits angehört wurdet, könnt ihr einen Gesandten senden, um für eine Vielzahl von Segnungen zu bitten, für die der Kaiser Euch würdig hält. Nach Segen zu fragen kostet §YGunst§!.;;Si el §Y[offmap_china.GetName]§! está abierto a las relaciones extranjeras y el año pasado no se escucharon tus peticiones, puedes mandar un enviado a solicitar alguna de las bendiciones de las que el Emperador te crea digno. Pedir regalos cuesta §YGracia§!";;;;;;;;;x;;;;
china_grace_peace_deal_desc;Send a request to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!, asking for peaceful relations with the §Y[Root.Offmap.GetFullName]§! and its §Y[Root.Offmap.Governor.GetTitle]§!. Having a §YPeace Deal§! ensures that the §Y[Root.Offmap.GetFullName]§! does not target your realm should they go on the warpath.;Envoyez une demande à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! pour demander des relations pacifiques avec l'§Y[Root.Offmap.GetFullName]§! et son §Y[Root.Offmap.Governor.GetTitle]§!. Avoir un §Yaccord de paix§! assure que l'§Y[Root.Offmap.GetFullName]§! ne cible pas votre pays s'il s'engage sur le sentier de la guerre.;Schickt §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! den Vorschlag auf friedliche Beziehungen mit §Y[Root.Offmap.GetFullName]§! und seinen §Y[Root.Offmap.Governor.GetTitle]§!. Ein §YFriedensvertrag§! versichert, dass §Y[Root.Offmap.GetFullName]§! nicht Euer Reich angreift, sollten sie dem Weg des Krieges folgen.;;Enviar una petición a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! solicitando relaciones pacíficas con el §Y[Root.Offmap.GetFullName]§! y su §Y[Root.Offmap.Governor.GetTitle]§!. Tener un §YAcuerdo de paz§! garantiza que si el §Y[Root.Offmap.GetFullName]§! entra en guerra, no atacará tu reino.;;;;;;;;;x;;;;
china_grace_doctor_desc;The §Y[Root.Offmap.GetFullName]§! is famed for their learned citizens. You can request to have one of these scholars come to your court and serve as your personal physician. This character always has the §YPhysician§! trait.;L'§Y[Root.Offmap.GetFullName]§! est célèbre pour ses savants. Vous pouvez demander à l'un de ces chercheurs de venir à votre cour et de servir de physicien personnel. Ce personnage a toujours le trait §YPhysicien§!.;Das §Y[Root.Offmap.GetFullName]§! ist für seine gebildeten Bürger bekannt. Ihr könnt die Anfrage stellen, dass einer dieser Gelehrter Eurem Hof beitritt und als persönlicher Arzt fungiert. Dieser Charakter hat immer die Eigenschaft §YArzt§!.;;El §Y[Root.Offmap.GetFullName]§! es celebre por la erudición de sus ciudadanos. Puede solicitar que uno de estos sabios venga a tu corte a servir como médico personal. Este personaje tiene el rasgo §Ymédico§!.;;;;;;;;;x;;;;
china_strategist_desc;Over the centuries, military geniuses of the §Y[Root.Offmap.GetFullName]§! have come to master the art of war. You can request to have a commander proficient in Valyrian strategy join your court. This §YStrategist§! will teach your existing commanders about Valyrian military tactics, granting them special §YCommander Traits§!.;Au cours des siècles, les génies militaires de l'§Y[Root.Offmap.GetFullName]§! sont arrivés à maîtriser l'art de la guerre. Vous pouvez demander à un commandant maîtrisant la stratégie chinoise de rejoindre votre cour. Ce §Ystratégiste§! enseignera à vos commandants des tactiques militaires chinoises, leur accordant des §Ytraits de commandement§! spéciaux.;Im Laufe der Jahrhunderte haben militärische Genies aus §Y[Root.Offmap.GetFullName]§! die Kunst des Krieges gemeistert. Ihr könnt die Anfrage stellen, dass ein chinesischer Stratege als Kommandant an Euren Hof kommt. Dieser §YStratege§! wird Euren vorhandenen Kommandanten chinesische Militärtaktiken beibringen, was ihnen §Yspezielle Eigenschaften§! bringt.;;Con el paso de los siglos, los genios militares del §Y[Root.Offmap.GetFullName]§! han dominado el arte de la guerra. Puedes solicitar que un comandante ducho en la estrategia china se una a tu corte. Este §Yestratega§! enseñará a tus comandantes actuales las tácticas militares chinas, dándoles §Yrasgos de comandante§! especiales.;;;;;;;;;x;;;;
china_administrator_desc;Through the rigorous imperial examinations, the §Y[Root.Offmap.GetFullName]§! has created a class of educated scholar-bureaucrats. You can request to have one of them serve you as an administrator. Having a §YScholar-Bureaucrat§! employed will reduce §GBuild Cost§! and §GBuild Time§!.;Grâce aux examens impériaux rigoureux, l'§Y[Root.Offmap.GetFullName]§! a créé une classe d'érudits-bureaucrates. Vous pouvez demander à l'un d'eux de vous servir d'administrateur. Avoir un §Yérudit-bureaucrate§! diminuera le §Gcoût de construction§! et le §Gtemps de construction§!.;Durch rigorose kaiserliche Prüfungen hat §Y[Root.Offmap.GetFullName]§! eine Klasse gebildeter Beamtengelehrter geschaffen. Ihr könnt die Anfrage stellen, dass einer von ihnen als Verwalter in Eurem Hof dient. Die Anstellung eines §YBeamtengelehrten§! reduziert §GBaukosten§! und §GBaudauer§!.;;Mediante los rigurosos exámenes imperiales, el §Y[Root.Offmap.GetFullName]§! ha creado una clase de burócratas eruditos educados. Puedes pedir que uno de ellos te sirva como administrador. Emplear a un §Yburócrata erudito§! reducirá §Gcostes§! y §Gtiempo de construcción§!;;;;;;;;;x;;;;
